"Rk","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Team","Year"
1,"Toshiki Abe",28,18,26,23,1,5,3,0,0,4,0,0,3,3,0.217,0.308,0.348,0.656,8,1,0,0,0,0,"Chunichi Dragons",2018
2,"Zoilo Almonte#",29,132,546,498,56,160,37,0,15,77,1,1,44,95,0.321,0.375,0.486,0.861,242,16,1,0,3,1,"Chunichi Dragons",2018
3,"Masahiro Araki",40,52,84,82,11,22,6,0,1,3,0,2,1,13,0.268,0.277,0.378,0.655,31,2,0,1,0,0,"Chunichi Dragons",2018
4,"Naomichi Donoue",29,74,56,47,3,10,0,0,0,6,0,0,3,9,0.213,0.278,0.213,0.491,10,2,2,2,2,0,"Chunichi Dragons",2018
5,"Issei Endo*",29,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2018
6,"Atsushi Fujii",37,96,162,145,21,35,8,0,3,30,0,0,12,36,0.241,0.29,0.359,0.649,52,1,0,0,5,1,"Chunichi Dragons",2018
7,"Kento Fujishima",20,19,19,15,3,1,0,0,0,0,0,0,3,5,0.067,0.222,0.067,0.289,1,1,0,1,0,0,"Chunichi Dragons",2018
8,"Nobumasa Fukuda",29,133,487,440,50,115,22,1,13,63,0,0,37,119,0.261,0.322,0.405,0.727,178,13,5,0,5,1,"Chunichi Dragons",2018
9,"Onelki Garcia*",28,27,56,54,1,7,0,0,0,2,0,0,0,20,0.13,0.13,0.13,0.259,7,2,0,2,0,0,"Chunichi Dragons",2018
10,"Dillon Gee",32,4,10,9,0,1,0,0,0,0,0,0,0,4,0.111,0.111,0.111,0.222,1,1,0,1,0,0,"Chunichi Dragons",2018
11,"Ryosuke Hirata",30,138,568,493,83,162,26,5,9,55,8,7,67,69,0.329,0.41,0.456,0.866,225,7,3,2,3,4,"Chunichi Dragons",2018
12,"Shun Ishikawa",28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2018
13,"Kyohei Kamezawa*",29,110,206,185,21,53,2,2,0,8,5,3,17,21,0.286,0.35,0.319,0.669,59,2,1,3,0,2,"Chunichi Dragons",2018
14,"Shotaro Kasahara*",23,21,38,33,0,4,1,0,0,1,0,0,1,19,0.121,0.147,0.152,0.299,5,0,0,4,0,0,"Chunichi Dragons",2018
15,"Takuya Kinoshita",26,16,28,25,4,3,1,0,1,2,0,0,3,9,0.12,0.214,0.28,0.494,7,0,0,0,0,1,"Chunichi Dragons",2018
16,"Hiroki Kondo",25,5,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2018
17,"Takahito Kudo*",37,73,17,15,17,2,0,0,0,1,3,1,0,7,0.133,0.188,0.133,0.321,2,0,1,1,0,0,"Chunichi Dragons",2018
18,"Yota Kyoda*",24,143,632,578,73,136,15,7,4,44,20,10,19,111,0.235,0.266,0.306,0.572,177,12,6,26,3,0,"Chunichi Dragons",2018
19,"Raidel Martinez?",NA,7,9,9,0,1,0,0,0,0,0,0,0,5,0.111,0.111,0.111,0.222,1,0,0,0,0,0,"Chunichi Dragons",2018
20,"Masato Matsui*",30,92,260,218,18,50,7,1,2,22,0,0,30,51,0.229,0.324,0.298,0.622,65,5,2,7,3,9,"Chunichi Dragons",2018
21,"Yusuke Matsui",30,17,22,22,2,3,0,0,0,0,0,0,0,12,0.136,0.136,0.136,0.273,3,0,0,0,0,0,"Chunichi Dragons",2018
22,"Daisuke Matsuzaka",37,11,20,20,0,2,0,0,0,0,0,0,0,7,0.1,0.1,0.1,0.2,2,0,0,0,0,0,"Chunichi Dragons",2018
23,"Steven Moya*",26,46,101,93,5,28,4,0,3,16,0,1,6,25,0.301,0.347,0.441,0.787,41,1,1,0,1,1,"Chunichi Dragons",2018
24,"Kei Nomoto*",33,8,8,8,0,1,1,0,0,1,0,0,0,1,0.125,0.125,0.25,0.375,2,0,0,0,0,0,"Chunichi Dragons",2018
25,"Shinnosuke Ogasawara*",20,17,38,34,0,2,0,0,0,0,0,0,0,18,0.059,0.059,0.059,0.118,2,0,0,4,0,0,"Chunichi Dragons",2018
26,"Ryosuke Oguma",27,8,18,14,1,1,0,0,0,0,0,0,2,4,0.071,0.188,0.071,0.259,1,1,0,2,0,0,"Chunichi Dragons",2018
27,"Shota Ono",31,63,167,137,9,27,4,2,2,10,0,0,20,31,0.197,0.304,0.299,0.603,41,2,1,9,0,2,"Chunichi Dragons",2018
28,"Yudai Ono*",29,6,10,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,"Chunichi Dragons",2018
29,"Yohei Oshima*",32,141,645,588,92,161,20,7,7,57,21,9,47,80,0.274,0.329,0.367,0.697,216,2,4,1,5,2,"Chunichi Dragons",2018
30,"Shota Suzuki",23,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2018
31,"Shuhei Takahashi*",24,128,477,433,35,110,26,2,11,69,0,0,30,89,0.254,0.305,0.4,0.704,173,9,3,8,3,1,"Chunichi Dragons",2018
32,"Shingo Takeyama",34,30,54,44,1,3,2,0,0,6,0,0,5,17,0.068,0.154,0.114,0.267,5,0,0,2,3,1,"Chunichi Dragons",2018
33,"Tetsuya Tani",32,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2018
34,"Dayan Viciedo",29,135,582,512,91,178,26,1,26,99,3,4,51,61,0.348,0.419,0.555,0.974,284,24,15,0,4,4,"Chunichi Dragons",2018
35,"Daisuke Yamai",40,10,17,17,0,1,1,0,0,2,0,0,0,6,0.059,0.059,0.118,0.176,2,1,0,0,0,0,"Chunichi Dragons",2018
36,"Yuya Yanagi",24,10,17,15,0,3,1,0,0,0,0,0,0,5,0.2,0.2,0.267,0.467,4,0,0,2,0,0,"Chunichi Dragons",2018
37,"Kazuki Yoshimi",33,20,39,33,0,1,0,0,0,1,0,0,1,19,0.03,0.059,0.03,0.089,1,0,0,5,0,0,"Chunichi Dragons",2018
1,"Takumi Akiyama*",27,17,31,29,2,5,0,0,1,4,0,0,0,16,0.172,0.172,0.276,0.448,8,0,0,2,0,0,"Hanshin Tigers",2018
2,"Koyo Aoyagi",24,4,8,7,0,1,0,0,0,0,0,0,0,0,0.143,0.25,0.143,0.393,1,0,1,0,0,0,"Hanshin Tigers",2018
3,"Kosuke Baba",23,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2018
4,"Taiga Egoshi",25,29,40,40,6,6,2,0,1,1,3,0,0,22,0.15,0.15,0.275,0.425,11,0,0,0,0,0,"Hanshin Tigers",2018
5,"Shunsuke Fujikawa",30,87,200,183,25,41,5,1,2,21,1,0,11,29,0.224,0.268,0.295,0.563,54,4,0,6,0,0,"Hanshin Tigers",2018
6,"Shintaro Fujinami",24,13,26,23,2,4,2,0,1,5,0,0,1,15,0.174,0.208,0.391,0.6,9,0,0,2,0,0,"Hanshin Tigers",2018
7,"Kosuke Fukudome*",41,123,499,414,57,116,26,2,14,72,2,1,73,90,0.28,0.389,0.454,0.843,188,10,5,0,7,2,"Hanshin Tigers",2018
8,"Fumihito Haraguchi",26,82,124,111,8,35,2,0,2,19,0,0,8,27,0.315,0.387,0.387,0.774,43,1,5,0,0,1,"Hanshin Tigers",2018
9,"Fumiya Hojo",23,62,266,239,34,77,8,1,1,20,1,0,19,32,0.322,0.37,0.377,0.747,90,7,1,4,3,0,"Hanshin Tigers",2018
10,"Yuya Iida*",27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2018
11,"Tsuyoshi Ishizaki",27,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2018
12,"Yutaro Itayama*",24,20,39,35,1,9,0,0,1,3,0,0,3,14,0.257,0.308,0.343,0.651,12,4,0,0,1,0,"Hanshin Tigers",2018
13,"Hayata Ito*",29,96,172,150,17,37,7,2,1,13,0,0,20,41,0.247,0.335,0.34,0.675,51,1,0,2,0,0,"Hanshin Tigers",2018
14,"Kento Itohara*",25,143,637,531,79,152,29,4,1,35,6,4,86,73,0.286,0.39,0.362,0.752,192,5,7,9,4,1,"Hanshin Tigers",2018
15,"Yoshio Itoi*",36,119,509,419,60,129,24,0,16,68,22,3,77,63,0.308,0.42,0.48,0.9,201,9,8,0,5,4,"Hanshin Tigers",2018
16,"Yuta Iwasada*",26,23,42,36,0,0,0,0,0,0,0,0,4,23,0,0.1,0,0.1,0,0,0,2,0,0,"Hanshin Tigers",2018
17,"Minoru Iwata*",34,6,8,7,0,0,0,0,0,0,0,0,1,6,0,0.125,0,0.125,0,1,0,0,0,0,"Hanshin Tigers",2018
18,"Suguru Iwazaki*",27,61,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,"Hanshin Tigers",2018
19,"Takahiro Kumagai#",22,19,18,13,10,3,0,0,0,2,3,1,2,3,0.231,0.333,0.231,0.564,3,1,0,3,0,0,"Hanshin Tigers",2018
20,"Randy Messenger",36,28,61,53,4,8,0,0,0,3,0,0,3,26,0.151,0.196,0.151,0.347,8,0,0,5,0,0,"Hanshin Tigers",2018
21,"Yuto Morikoshi",29,16,39,32,5,4,0,0,0,1,0,1,5,7,0.125,0.243,0.125,0.368,4,1,0,2,0,1,"Hanshin Tigers",2018
22,"Kenya Nagasaka",24,9,9,8,0,1,1,0,0,0,0,0,0,1,0.125,0.125,0.25,0.375,2,0,0,1,0,0,"Hanshin Tigers",2018
23,"Masahiro Nakatani",25,77,245,222,24,51,6,2,5,26,0,1,17,65,0.23,0.287,0.342,0.629,76,5,2,1,3,2,"Hanshin Tigers",2018
24,"Efren Navarro*",32,66,225,203,18,56,11,0,3,25,0,0,20,55,0.276,0.342,0.374,0.717,76,5,1,0,1,0,"Hanshin Tigers",2018
25,"Tsuyoshi Nishioka#",33,25,43,40,4,5,3,0,0,1,0,0,3,10,0.125,0.186,0.2,0.386,8,0,0,0,0,0,"Hanshin Tigers",2018
26,"Atsushi Nomi*",39,45,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,"Hanshin Tigers",2018
27,"Yosuke Okamoto",32,34,5,5,1,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,1,0,0,0,0,0,"Hanshin Tigers",2018
28,"Taichi Okazaki",35,6,13,11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,"Hanshin Tigers",2018
29,"Taiki Ono",24,23,44,36,3,2,1,0,0,1,0,0,1,26,0.056,0.081,0.083,0.164,3,0,0,7,0,0,"Hanshin Tigers",2018
30,"Yusuke Oyama",23,117,378,347,48,95,19,4,11,48,5,3,26,54,0.274,0.326,0.447,0.773,155,14,2,1,2,0,"Hanshin Tigers",2018
31,"Wilin Rosario",29,75,302,281,28,68,13,0,8,40,0,1,17,71,0.242,0.285,0.374,0.658,105,12,1,0,3,0,"Hanshin Tigers",2018
32,"Hiroto Saiki",19,22,25,20,0,2,0,0,0,1,0,0,1,16,0.1,0.182,0.1,0.282,2,0,1,3,0,0,"Hanshin Tigers",2018
33,"Seishiro Sakamoto",24,15,16,13,1,2,1,0,0,1,0,0,2,7,0.154,0.25,0.231,0.481,3,0,0,0,1,0,"Hanshin Tigers",2018
34,"Kairi Shimada*",22,12,37,35,5,7,1,1,0,1,0,1,1,7,0.2,0.222,0.286,0.508,10,0,0,1,0,0,"Hanshin Tigers",2018
35,"Haruto Takahashi*",22,6,12,11,0,1,0,0,0,0,0,0,1,8,0.091,0.167,0.091,0.258,1,0,0,0,0,0,"Hanshin Tigers",2018
36,"Shun Takayama*",25,45,134,128,8,22,5,0,1,14,0,1,4,22,0.172,0.201,0.234,0.436,30,4,1,0,1,0,"Hanshin Tigers",2018
37,"Daichi Takeyasu",23,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2018
38,"Masaki Tanigawa",25,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2018
39,"Takashi Toritani*",37,121,261,220,15,51,11,0,1,22,1,1,34,37,0.232,0.333,0.295,0.629,65,6,1,3,3,3,"Hanshin Tigers",2018
40,"Kai Ueda",22,104,243,198,29,38,1,0,0,1,19,2,25,55,0.192,0.289,0.197,0.486,39,5,2,18,0,0,"Hanshin Tigers",2018
41,"Hiroki Uemoto",31,20,53,45,7,19,3,0,1,6,4,0,6,8,0.422,0.481,0.556,1.036,25,1,0,1,1,0,"Hanshin Tigers",2018
42,"Ryutaro Umeno",27,132,455,386,45,100,27,1,8,47,5,1,39,67,0.259,0.328,0.396,0.724,153,6,1,28,1,3,"Hanshin Tigers",2018
43,"Noriharu Yamazaki",31,32,22,18,3,4,1,0,0,2,0,0,1,4,0.222,0.263,0.278,0.541,5,0,0,3,0,0,"Hanshin Tigers",2018
44,"Naomasa Yokawa",26,75,299,274,27,69,16,5,6,48,5,0,17,76,0.252,0.311,0.412,0.723,113,7,7,0,1,1,"Hanshin Tigers",2018
1,"Tomohiro Abe*",29,72,252,220,32,52,11,4,4,24,7,1,21,60,0.236,0.306,0.377,0.683,83,1,2,7,2,3,"Hiroshima Carp",2018
2,"Makoto Aduwa",19,53,5,5,0,1,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,1,0,0,0,0,0,"Hiroshima Carp",2018
3,"Tsubasa Aizawa",30,106,377,315,42,96,18,1,13,42,0,0,39,56,0.305,0.401,0.492,0.893,155,6,14,5,4,5,"Hiroshima Carp",2018
4,"Soichiro Amaya*",34,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hiroshima Carp",2018
5,"Takahiro Arai",41,63,132,114,7,25,3,1,4,24,0,0,14,26,0.219,0.295,0.368,0.664,42,4,0,0,4,1,"Hiroshima Carp",2018
6,"Xavier Batista",26,99,302,273,38,66,8,0,25,55,0,1,26,81,0.242,0.308,0.546,0.854,149,6,1,0,2,4,"Hiroshima Carp",2018
7,"Shota Dobayashi",26,63,60,51,11,11,3,1,0,5,0,1,2,14,0.216,0.245,0.314,0.559,16,1,0,7,0,0,"Hiroshima Carp",2018
8,"Brad Eldred",37,38,94,80,8,17,9,0,5,14,0,0,11,19,0.213,0.33,0.513,0.842,41,3,3,0,0,0,"Hiroshima Carp",2018
9,"Geronimo Franzua*",24,47,7,6,1,0,0,0,0,1,0,0,1,5,0,0.143,0,0.143,0,0,0,0,0,0,"Hiroshima Carp",2018
10,"Koya Fujii*",21,8,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,"Hiroshima Carp",2018
11,"Yuya Fukui",30,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hiroshima Carp",2018
12,"Yoshiyuki Ishihara",38,58,107,96,6,17,1,0,1,7,0,0,5,27,0.177,0.223,0.219,0.442,21,4,1,4,1,2,"Hiroshima Carp",2018
13,"Yoshitaka Isomura",25,37,91,79,6,17,2,0,1,4,0,0,6,12,0.215,0.279,0.278,0.558,22,4,1,5,0,1,"Hiroshima Carp",2018
