"Rk","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Team","Year"
1,"Ryuichiro Akada*",27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
2,"Kazuyuki Akasaka",25,35,49,43,2,14,2,0,0,8,2,0,6,8,0.326,0.408,0.372,0.78,16,0,0,0,0,0,"Chunichi Dragons",2015
3,"Masahiro Araki",37,97,238,211,23,53,10,0,0,13,9,1,20,31,0.251,0.315,0.299,0.613,63,1,0,6,1,0,"Chunichi Dragons",2015
4,"Naomichi Donoue",26,43,43,38,3,6,0,0,1,1,0,0,4,8,0.158,0.238,0.237,0.475,9,0,0,1,0,0,"Chunichi Dragons",2015
5,"Issei Endo*",26,41,165,140,16,38,4,0,4,14,3,3,11,25,0.271,0.348,0.386,0.734,54,1,7,4,3,0,"Chunichi Dragons",2015
6,"Atsushi Fujii",34,118,315,275,28,81,9,3,6,45,3,0,23,69,0.295,0.349,0.415,0.763,114,4,2,11,4,1,"Chunichi Dragons",2015
7,"Nobumasa Fukuda",26,79,185,169,12,41,6,2,6,23,0,0,14,62,0.243,0.297,0.408,0.706,69,7,0,0,2,0,"Chunichi Dragons",2015
8,"Koji Fukutani",24,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
9,"Tatsuro Hamada*",20,4,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
10,"Anderson Hernandez#",32,138,547,498,54,135,27,2,11,58,5,3,35,106,0.271,0.317,0.4,0.716,199,13,0,10,4,1,"Chunichi Dragons",2015
11,"Ryosuke Hirata",27,130,559,491,76,139,27,3,13,53,11,7,64,86,0.283,0.369,0.43,0.799,211,5,3,1,0,1,"Chunichi Dragons",2015
12,"Masataka Iryo*",25,9,7,7,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,"Chunichi Dragons",2015
13,"Junki Ito*",24,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
14,"Shinji Iwata*",28,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
15,"Kyohei Kamezawa*",26,107,376,331,30,89,6,2,0,12,9,8,15,44,0.269,0.304,0.299,0.603,99,3,2,27,1,0,"Chunichi Dragons",2015
16,"Iori Katsura",23,47,113,105,8,24,1,1,2,7,1,0,3,33,0.229,0.25,0.314,0.564,33,2,0,5,0,0,"Chunichi Dragons",2015
17,"Yudai Kawai*",35,3,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,"Chunichi Dragons",2015
18,"Takahito Kudo*",34,13,7,6,2,1,0,0,0,0,0,0,1,3,0.167,0.286,0.167,0.452,1,0,0,0,0,0,"Chunichi Dragons",2015
