"Rk","Name","Age","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Team","Year"
19,"Hector Luna",35,134,564,496,61,145,26,1,8,60,11,0,57,77,0.292,0.367,0.397,0.764,197,13,5,0,6,2,"Chunichi Dragons",2015
20,"Masato Matsui*",27,51,146,133,4,18,4,0,0,7,2,1,5,43,0.135,0.179,0.165,0.344,22,3,2,6,0,0,"Chunichi Dragons",2015
21,"Yusuke Matsui",27,30,32,31,0,6,0,0,0,0,0,0,0,6,0.194,0.194,0.194,0.387,6,0,0,1,0,0,"Chunichi Dragons",2015
22,"Masahiko Morino*",36,82,252,206,25,54,8,0,0,10,2,0,37,38,0.262,0.378,0.301,0.678,62,0,3,3,3,1,"Chunichi Dragons",2015
23,"Yuta Muto",26,8,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Chunichi Dragons",2015
24,"Ricardo Nanita*",34,52,169,156,9,48,12,0,0,15,1,0,9,24,0.308,0.351,0.385,0.736,60,4,2,1,1,0,"Chunichi Dragons",2015
25,"Drew Naylor",29,10,17,14,2,1,0,0,1,1,0,0,1,9,0.071,0.133,0.286,0.419,4,0,0,2,0,0,"Chunichi Dragons",2015
26,"Kei Nomoto*",30,10,16,14,1,2,1,0,0,0,0,0,2,6,0.143,0.25,0.214,0.464,3,0,0,0,0,1,"Chunichi Dragons",2015
27,"Michihiro Ogasawara*",41,53,59,51,2,15,3,0,0,8,0,0,7,10,0.294,0.373,0.353,0.726,18,1,0,0,1,1,"Chunichi Dragons",2015
28,"Ryosuke Oguma",24,13,10,8,1,0,0,0,0,0,0,0,1,5,0,0.111,0,0.111,0,0,0,1,0,0,"Chunichi Dragons",2015
29,"Toshiya Okada*",23,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
30,"Yudai Ono*",26,28,69,62,0,7,1,0,0,2,0,0,1,30,0.113,0.127,0.129,0.256,8,0,0,6,0,0,"Chunichi Dragons",2015
31,"Yohei Oshima*",29,142,620,565,70,147,20,4,6,27,22,8,39,65,0.26,0.313,0.342,0.655,193,5,5,10,1,1,"Chunichi Dragons",2015
32,"Shota Sugiyama",24,64,161,153,8,28,3,0,3,17,1,1,3,33,0.183,0.209,0.261,0.47,40,3,2,3,0,1,"Chunichi Dragons",2015
33,"Shota Suzuki",20,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
34,"Shuhei Takahashi*",21,51,172,154,10,32,6,1,4,18,2,1,16,42,0.208,0.287,0.338,0.624,52,5,1,1,0,0,"Chunichi Dragons",2015
35,"Shingo Takeyama",31,11,27,22,1,2,0,0,0,0,0,0,4,8,0.091,0.231,0.091,0.322,2,1,0,1,0,0,"Chunichi Dragons",2015
36,"Tetsuya Tani",29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chunichi Dragons",2015
37,"Motonobu Tanishige",44,30,52,47,4,13,2,0,1,4,0,0,3,9,0.277,0.32,0.383,0.703,18,0,0,2,0,0,"Chunichi Dragons",2015
38,"Shota Tomonaga*",24,7,20,18,0,1,0,0,0,0,2,0,1,7,0.056,0.105,0.056,0.161,1,1,0,1,0,0,"Chunichi Dragons",2015
39,"Raul Valdes*",37,22,45,45,2,6,2,0,0,2,0,0,0,13,0.133,0.133,0.178,0.311,8,1,0,0,0,0,"Chunichi Dragons",2015
40,"Kazuhiro Wada",43,79,234,218,16,65,8,0,5,26,1,0,14,40,0.298,0.346,0.404,0.75,88,9,2,0,0,0,"Chunichi Dragons",2015
41,"Shunta Wakamatsu",20,23,47,41,0,3,0,0,0,1,0,0,2,24,0.073,0.116,0.073,0.189,3,0,0,4,0,0,"Chunichi Dragons",2015
42,"Tomoya Yagi*",31,14,17,16,1,2,0,0,0,0,0,0,1,3,0.125,0.176,0.125,0.301,2,0,0,0,0,0,"Chunichi Dragons",2015
43,"Daisuke Yamai",37,33,38,33,1,4,0,0,0,2,0,0,1,15,0.121,0.147,0.121,0.268,4,0,0,4,0,0,"Chunichi Dragons",2015
44,"Kazuki Yoshimi",30,8,17,15,0,2,0,0,0,0,0,0,1,6,0.133,0.188,0.133,0.321,2,0,0,1,0,0,"Chunichi Dragons",2015
1,"Takumi Akiyama*",24,3,5,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,"Hanshin Tigers",2015
2,"Ryota Arai",31,93,162,150,10,29,8,0,4,19,0,0,10,41,0.193,0.247,0.327,0.574,49,3,1,0,1,0,"Hanshin Tigers",2015
3,"Fumiya Araki*",27,29,41,35,8,7,0,0,0,0,4,0,3,7,0.2,0.282,0.2,0.482,7,1,1,2,0,0,"Hanshin Tigers",2015
4,"Taiga Egoshi",22,56,176,168,21,36,8,3,5,16,2,0,6,64,0.214,0.25,0.387,0.637,65,0,2,0,0,0,"Hanshin Tigers",2015
5,"Akihito Fujii",39,71,159,134,8,23,1,1,0,3,0,0,21,20,0.172,0.284,0.194,0.478,26,4,0,4,0,1,"Hanshin Tigers",2015
6,"Shunsuke Fujikawa",27,112,126,102,21,25,5,0,0,2,3,3,9,20,0.245,0.319,0.294,0.613,30,2,2,13,0,0,"Hanshin Tigers",2015
7,"Shintaro Fujinami",21,28,69,57,2,8,2,0,0,6,0,0,2,31,0.14,0.167,0.175,0.342,10,0,0,9,1,0,"Hanshin Tigers",2015
8,"Kosuke Fukudome*",38,140,569,495,53,139,24,3,20,76,1,2,65,75,0.281,0.361,0.463,0.824,229,15,1,1,7,1,"Hanshin Tigers",2015
9,"Mauro Gomez",30,143,601,520,49,141,28,0,17,72,0,1,72,134,0.271,0.364,0.423,0.787,220,15,6,0,3,1,"Hanshin Tigers",2015
10,"Fumiya Hojo",20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
11,"Ryota Imanari*",27,93,304,269,25,76,7,0,1,16,1,1,24,78,0.283,0.345,0.32,0.664,86,1,2,8,1,0,"Hanshin Tigers",2015
12,"Hayata Ito*",26,63,150,135,10,34,7,0,2,12,0,1,11,31,0.252,0.302,0.348,0.65,47,0,0,1,3,0,"Hanshin Tigers",2015
13,"Akira Iwamoto*",22,13,9,7,0,0,0,0,0,0,0,0,1,3,0,0.125,0,0.125,0,1,0,1,0,0,"Hanshin Tigers",2015
14,"Yuta Iwasada*",23,5,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,"Hanshin Tigers",2015
15,"Minoru Iwata*",31,27,60,54,1,5,0,1,0,3,0,0,0,23,0.093,0.093,0.13,0.222,7,3,0,6,0,0,"Hanshin Tigers",2015
16,"Suguru Iwazaki*",24,15,28,26,0,4,0,0,0,0,0,0,0,8,0.154,0.154,0.154,0.308,4,0,0,2,0,0,"Hanshin Tigers",2015
17,"Keisuke Kano",32,66,93,84,6,23,4,0,3,13,1,0,4,12,0.274,0.333,0.429,0.762,36,3,4,0,1,0,"Hanshin Tigers",2015
18,"Shinji Komiyama",29,10,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
19,"Kentaro Kuwahara",29,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
20,"Yamato Maeda",27,123,293,249,25,56,5,0,0,12,5,7,12,35,0.225,0.272,0.245,0.517,61,2,4,28,0,2,"Hanshin Tigers",2015
21,"Ryoma Matsuda",21,30,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,"Hanshin Tigers",2015
22,"Randy Messenger",33,29,59,52,2,5,0,0,0,1,0,0,0,15,0.096,0.096,0.096,0.192,5,0,0,7,0,0,"Hanshin Tigers",2015
23,"Yuto Morikoshi",26,7,8,7,2,0,0,0,0,0,0,0,1,3,0,0.125,0,0.125,0,0,0,0,0,0,"Hanshin Tigers",2015
24,"Matt Murton",33,140,583,544,46,150,27,0,9,59,0,1,31,77,0.276,0.316,0.375,0.691,204,21,3,0,5,0,"Hanshin Tigers",2015
25,"Masahiro Nakatani",22,11,11,11,1,2,0,0,0,0,0,0,0,3,0.182,0.182,0.182,0.364,2,0,0,0,0,0,"Hanshin Tigers",2015
26,"Tsuyoshi Nishioka#",30,50,196,172,20,45,8,0,2,14,1,3,22,21,0.262,0.347,0.343,0.69,59,5,1,0,1,0,"Hanshin Tigers",2015
27,"Atsushi Nomi*",36,27,59,54,2,7,1,0,0,2,0,0,1,27,0.13,0.145,0.148,0.294,8,3,0,4,0,0,"Hanshin Tigers",2015
28,"Taichi Okazaki",32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
29,"Nelson Perez*",27,3,10,9,0,0,0,0,0,0,0,0,1,3,0,0.1,0,0.1,0,0,0,0,0,0,"Hanshin Tigers",2015
30,"Katsuhiko Saka*",29,87,46,40,2,7,0,1,0,2,1,0,3,13,0.175,0.25,0.225,0.475,9,0,1,2,0,0,"Hanshin Tigers",2015
31,"Mario Santiago",30,3,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
32,"Kentaro Sekimoto",36,55,54,42,1,11,0,0,0,10,1,0,8,10,0.262,0.407,0.262,0.669,11,1,3,0,1,0,"Hanshin Tigers",2015
33,"Kohei Shibata*",28,20,49,42,2,8,1,0,0,2,0,0,3,15,0.19,0.261,0.214,0.475,9,0,1,3,0,0,"Hanshin Tigers",2015
34,"Kenichi Tagami*",27,9,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
35,"Takashi Toritani*",34,143,646,551,69,155,21,4,6,42,9,6,89,77,0.281,0.38,0.367,0.747,202,8,1,2,3,2,"Hanshin Tigers",2015
36,"Naoto Tsuru*",28,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
37,"Kazunari Tsuruoka",38,70,179,153,16,35,8,0,1,15,0,0,15,43,0.229,0.296,0.301,0.597,46,2,0,10,1,1,"Hanshin Tigers",2015
38,"Hiroki Uemoto",28,108,452,375,44,95,18,1,4,31,19,11,44,69,0.253,0.338,0.339,0.677,127,1,4,29,0,1,"Hanshin Tigers",2015
39,"Ryutaro Umeno",24,56,149,138,16,33,9,1,4,18,0,2,6,33,0.239,0.276,0.406,0.682,56,2,1,4,0,0,"Hanshin Tigers",2015
40,"Syoya Yamamoto*",26,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
41,"Yuya Yokoyama*",21,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanshin Tigers",2015
1,"Tomohiro Abe*",26,26,74,70,6,17,0,0,0,2,1,2,1,6,0.243,0.254,0.243,0.496,17,1,0,3,0,0,"Hiroshima Carp",2015
2,"Tsubasa Aizawa",27,93,290,252,23,62,7,3,6,30,0,1,26,49,0.246,0.33,0.369,0.699,93,9,7,2,3,3,"Hiroshima Carp",2015
3,"Masato Akamatsu",32,52,9,9,13,2,1,0,0,0,6,3,0,2,0.222,0.222,0.333,0.556,3,0,0,0,0,0,"Hiroshima Carp",2015
4,"Soichiro Amaya*",31,30,34,28,1,6,0,0,0,2,3,4,6,7,0.214,0.353,0.214,0.567,6,1,0,0,0,0,"Hiroshima Carp",2015
5,"Takahiro Arai",38,125,480,426,52,117,22,2,7,57,3,0,48,73,0.275,0.348,0.385,0.733,164,15,2,0,4,1,"Hiroshima Carp",2015
6,"Shota Dobayashi",23,33,73,69,5,18,2,0,0,3,1,0,3,16,0.261,0.292,0.29,0.582,20,1,0,1,0,0,"Hiroshima Carp",2015
7,"Brad Eldred",34,79,300,264,32,60,6,0,19,54,1,2,31,91,0.227,0.307,0.466,0.773,123,3,1,0,4,0,"Hiroshima Carp",2015
8,"Yuya Fukui",27,21,41,36,0,1,0,0,0,1,0,0,1,22,0.028,0.054,0.028,0.082,1,2,0,4,0,0,"Hiroshima Carp",2015
9,"Jesus Guzman",31,34,116,100,10,23,8,1,3,12,0,0,15,25,0.23,0.336,0.42,0.756,42,2,1,0,0,0,"Hiroshima Carp",2015
10,"Keisuke Imai",28,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Hiroshima Carp",2015
11,"Takeru Imamura",24,21,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0,"Hiroshima Carp",2015
12,"Yoshiyuki Ishihara",35,83,238,216,15,52,6,0,2,12,1,0,14,42,0.241,0.287,0.296,0.583,64,10,0,8,0,2,"Hiroshima Carp",2015
13,"Takahiro Iwamoto*",29,7,10,10,1,3,1,0,0,0,0,0,0,1,0.3,0.3,0.4,0.7,4,0,0,0,0,0,"Hiroshima Carp",2015
14,"Kris Johnson*",30,28,64,60,5,9,1,0,0,1,0,0,2,29,0.15,0.177,0.167,0.344,10,0,0,2,0,0,"Hiroshima Carp",2015
15,"Ryosuke Kikuchi",25,143,644,562,62,143,20,3,8,32,19,9,29,92,0.254,0.292,0.343,0.636,193,7,2,49,2,2,"Hiroshima Carp",2015
16,"Shogo Kimura*",35,72,109,93,14,25,4,2,0,8,2,0,5,22,0.269,0.297,0.355,0.652,33,1,0,8,3,0,"Hiroshima Carp",2015
17,"Tetsuya Kokubo",30,69,88,71,2,21,2,0,1,15,1,0,15,18,0.296,0.419,0.366,0.785,26,2,0,2,0,0,"Hiroshima Carp",2015
18,"Aren Kuri",23,7,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Hiroshima Carp",2015
19,"Hiroki Kuroda",40,26,56,47,1,3,1,0,0,1,0,0,3,25,0.064,0.12,0.085,0.205,4,0,0,6,0,0,"Hiroshima Carp",2015
20,"Kenta Maeda",27,29,73,62,4,12,2,0,1,5,0,0,2,25,0.194,0.219,0.274,0.493,17,1,0,9,0,0,"Hiroshima Carp",2015
21,"Ryuhei Matsuyama*",29,100,229,202,14,56,13,0,7,26,1,1,23,30,0.277,0.349,0.446,0.795,90,8,1,0,3,0,"Hiroshima Carp",2015
22,"Yuki Mima",21,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hiroshima Carp",2015
23,"Naoki Nakahigashi*",33,9,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Hiroshima Carp",2015
24,"Kyohei Nakamura*",26,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Hiroshima Carp",2015
25,"Takayoshi Noma*",22,127,188,170,21,41,7,6,1,10,8,2,10,37,0.241,0.286,0.371,0.656,63,2,1,6,1,0,"Hiroshima Carp",2015
26,"Yusuke Nomura",26,15,27,22,0,0,0,0,0,0,0,0,1,12,0,0.043,0,0.043,0,0,0,4,0,0,"Hiroshima Carp",2015
27,"Daichi Osera",24,51,23,22,0,0,0,0,0,0,0,0,1,13,0,0.043,0,0.043,0,0,0,0,0,0,"Hiroshima Carp",2015
28,"Rainel Rosario",26,42,136,124,9,32,5,0,2,12,1,1,11,23,0.258,0.324,0.347,0.67,43,1,1,0,0,0,"Hiroshima Carp",2015
29,"Nate Schierholtz*",31,65,248,232,27,58,11,1,10,30,3,2,14,67,0.25,0.298,0.435,0.734,101,0,2,0,0,0,"Hiroshima Carp",2015
30,"Ko Shimozuru",27,5,10,10,0,2,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,2,0,0,0,0,0,"Hiroshima Carp",2015
31,"Eishin Soyogi",34,96,332,283,24,67,15,1,6,27,2,2,36,49,0.237,0.323,0.36,0.683,102,6,1,10,2,0,"Hiroshima Carp",2015
32,"Seiya Suzuki",20,97,238,211,21,58,6,3,5,25,6,7,16,38,0.275,0.329,0.403,0.732,85,3,2,7,2,0,"Hiroshima Carp",2015
33,"Kosuke Tanaka*",25,141,590,543,61,149,33,9,8,45,6,7,34,105,0.274,0.325,0.413,0.737,224,8,7,5,1,2,"Hiroshima Carp",2015
34,"Takaya Toda*",22,34,12,11,1,1,0,0,0,0,0,0,0,6,0.091,0.091,0.091,0.182,1,0,0,1,0,0,"Hiroshima Carp",2015
35,"Kazuki Yabuta",22,6,8,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,"Hiroshima Carp",2015
1,"Nagisa Arakaki",35,15,24,20,1,4,1,0,0,2,0,0,1,7,0.2,0.238,0.25,0.488,5,1,0,3,0,0,"Yakult Swallows",2015
2,"Takahiro Araki",27,73,196,170,21,43,8,0,2,12,5,3,16,30,0.253,0.319,0.335,0.654,57,3,1,8,1,0,"Yakult Swallows",2015
3,"Wladimir Balentien",30,15,52,43,4,8,2,0,1,6,0,0,9,14,0.186,0.327,0.302,0.629,13,1,0,0,0,0,"Yakult Swallows",2015
4,"Tony Barnette",31,59,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yakult Swallows",2015
5,"Mitch Dening*",26,64,227,194,13,43,12,0,4,22,0,1,23,43,0.222,0.326,0.345,0.671,67,2,8,0,2,1,"Yakult Swallows",2015
6,"Ryota Fujii*",26,13,38,34,5,6,1,0,0,2,0,1,2,13,0.176,0.222,0.206,0.428,7,1,0,2,0,0,"Yakult Swallows",2015
7,"Masato Furuno",28,27,14,10,1,1,0,0,0,2,0,0,2,6,0.1,0.231,0.1,0.331,1,0,0,1,1,0,"Yakult Swallows",2015
8,"Kazuhiro Hatakeyama",32,137,584,512,64,137,26,0,26,105,0,0,62,92,0.268,0.344,0.471,0.815,241,10,2,0,8,0,"Yakult Swallows",2015
9,"Wataru Hiyane",28,84,240,209,42,48,6,0,3,9,6,2,17,38,0.23,0.3,0.301,0.601,63,2,4,10,0,0,"Yakult Swallows",2015
10,"Yasushi Iihara",32,18,34,32,2,7,1,0,0,3,0,0,1,9,0.219,0.235,0.25,0.485,8,1,0,0,1,0,"Yakult Swallows",2015
11,"Takahiro Imanami*",30,68,139,123,13,39,8,0,2,13,1,0,12,14,0.317,0.375,0.431,0.806,53,1,0,3,1,0,"Yakult Swallows",2015
12,"Masanori Ishikawa*",35,25,47,38,2,7,0,0,0,1,0,0,2,13,0.184,0.225,0.184,0.409,7,1,0,7,0,0,"Yakult Swallows",2015
13,"Taichi Ishiyama",26,21,33,29,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,4,0,0,"Yakult Swallows",2015
14,"Shingo Kawabata*",27,143,631,581,87,195,34,1,8,57,4,3,43,72,0.336,0.383,0.439,0.822,255,15,3,2,2,0,"Yakult Swallows",2015
15,"Nariaki Kawasaki",29,13,12,11,1,1,0,0,0,0,0,0,1,1,0.091,0.167,0.091,0.258,1,0,0,0,0,0,"Yakult Swallows",2015
16,"Jun Matsui*",27,7,13,12,1,2,0,0,0,0,0,0,0,3,0.167,0.231,0.167,0.397,2,0,1,0,0,0,"Yakult Swallows",2015
17,"Yuichi Matsumoto*",34,39,51,47,1,8,2,0,0,5,0,0,3,5,0.17,0.216,0.213,0.428,10,1,0,0,1,0,"Yakult Swallows",2015
18,"Lastings Milledge",30,24,81,76,3,16,2,1,1,9,0,2,5,16,0.211,0.259,0.303,0.562,23,1,0,0,0,0,"Yakult Swallows",2015
19,"Masayoshi Miwa*",31,87,102,86,13,20,1,2,0,7,4,2,9,23,0.233,0.302,0.291,0.593,25,1,0,6,1,0,"Yakult Swallows",2015
20,"Ryosuke Morioka*",30,75,125,112,10,21,2,1,1,9,1,1,8,22,0.188,0.246,0.25,0.496,28,6,1,3,1,0,"Yakult Swallows",2015
21,"Yuhei Nakamura",25,136,502,442,36,102,14,0,2,33,3,2,40,80,0.231,0.299,0.276,0.575,122,9,4,14,2,1,"Yakult Swallows",2015
22,"Yoshihisa Naruse*",29,14,26,24,0,4,1,0,0,0,0,0,0,8,0.167,0.167,0.208,0.375,5,0,0,2,0,0,"Yakult Swallows",2015
23,"Akihisa Nishida",23,13,40,34,1,5,1,0,1,2,0,0,3,11,0.147,0.216,0.265,0.481,9,1,0,3,0,0,"Yakult Swallows",2015
24,"Naomichi Nishiura",24,26,48,44,9,13,3,1,1,5,1,0,3,12,0.295,0.34,0.477,0.818,21,0,0,1,0,0,"Yakult Swallows",2015
25,"Keiji Obiki",31,96,347,311,25,70,18,1,5,41,6,3,27,56,0.225,0.287,0.338,0.625,105,5,1,6,2,0,"Yakult Swallows",2015
26,"Yasuhiro Ogawa",25,27,57,46,4,5,0,0,1,4,0,0,4,24,0.109,0.18,0.174,0.354,8,0,0,7,0,0,"Yakult Swallows",2015
27,"Orlando Roman",36,61,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Yakult Swallows",2015
28,"Toshihiro Sugiura",23,7,12,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,"Yakult Swallows",2015
29,"Yuhei Takai*",31,141,585,551,57,149,33,4,8,60,7,4,27,82,0.27,0.307,0.388,0.695,214,7,3,1,3,1,"Yakult Swallows",2015
30,"Shinichi Takeuchi*",31,51,71,66,5,13,2,0,0,3,0,0,4,15,0.197,0.243,0.227,0.47,15,1,0,1,0,0,"Yakult Swallows",2015
31,"Hiroyasu Tanaka",33,82,151,134,13,27,3,1,1,11,3,0,11,18,0.201,0.272,0.261,0.533,35,4,2,4,0,0,"Yakult Swallows",2015
32,"Masahiko Tanaka",33,6,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yakult Swallows",2015
33,"Shohei Tateyama",34,11,20,15,2,3,0,0,1,3,0,0,2,9,0.2,0.294,0.4,0.694,6,0,0,3,0,0,"Yakult Swallows",2015
34,"Takeaki Tokuyama#",25,39,3,2,0,0,0,0,0,1,0,0,1,1,0,0.333,0,0.333,0,1,0,0,0,0,"Yakult Swallows",2015
35,"Tsuyoshi Ueda*",26,82,238,209,18,55,2,2,1,19,8,1,14,29,0.263,0.313,0.306,0.619,64,5,2,11,2,0,"Yakult Swallows",2015
36,"Ryota Yachi",24,4,6,6,1,3,1,0,0,0,0,0,0,1,0.5,0.5,0.667,1.167,4,0,0,0,0,0,"Yakult Swallows",2015
37,"Ryosuke Yagi*",24,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yakult Swallows",2015
38,"Tetsuto Yamada",22,143,646,557,119,183,39,2,38,100,34,4,81,111,0.329,0.416,0.61,1.027,340,11,5,0,3,1,"Yakult Swallows",2015
39,"Hirofumi Yamanaka",29,9,15,14,0,2,0,0,0,1,0,0,0,8,0.143,0.143,0.143,0.286,2,2,0,1,0,0,"Yakult Swallows",2015
1,"Tateki Abe",28,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yokohama Bay Stars",2015
2,"Daichi Akahori",28,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yokohama Bay Stars",2015
3,"Sho Aranami*",29,70,207,188,29,56,15,2,4,14,4,3,16,26,0.298,0.354,0.463,0.817,87,2,1,1,1,0,"Yokohama Bay Stars",2015
4,"Aarom Baldiris",32,139,525,465,38,120,23,0,13,56,0,0,43,62,0.258,0.333,0.391,0.725,182,12,12,0,5,2,"Yokohama Bay Stars",2015
5,"Taketoshi Goto",35,70,76,68,4,14,4,0,4,11,0,0,8,17,0.206,0.289,0.441,0.731,30,2,0,0,0,1,"Yokohama Bay Stars",2015
6,"Yoslan Herrera",34,52,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yokohama Bay Stars",2015
7,"Shingo Hirata",25,28,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Yokohama Bay Stars",2015
8,"Shotaro Ide",31,40,102,98,8,25,7,0,4,13,0,0,3,28,0.255,0.275,0.449,0.723,44,0,0,0,1,0,"Yokohama Bay Stars",2015
9,"Shoichi Ino",29,21,42,40,1,4,0,0,0,1,0,0,0,18,0.1,0.1,0.1,0.2,4,0,0,2,0,0,"Yokohama Bay Stars",2015
10,"Kenta Ishida*",22,12,24,22,0,1,0,0,0,0,0,0,0,8,0.045,0.045,0.045,0.091,1,1,0,2,0,0,"Yokohama Bay Stars",2015
